drug_name,medical_condition,activity,rx_otc,pregnancy_category,csa,alcohol,rating,no_of_reviews,drug_link
Azithromycin Dose Pack,Bronchitis,75%,Rx,B,N,,5.9,17.0,https://www.drugs.com/mtm/azithromycin-3-day-dose-pack.html
doxycycline,Bronchitis,67%,Rx,D,N,X,5.1,47.0,https://www.drugs.com/doxycycline.html
amoxicillin,Bronchitis,46%,Rx,B,N,,5.8,15.0,https://www.drugs.com/amoxicillin.html
guaifenesin,Bronchitis,46%,Rx/OTC,C,N,,6.7,73.0,https://www.drugs.com/guaifenesin.html
levofloxacin,Bronchitis,40%,Rx,C,N,,5.4,120.0,https://www.drugs.com/levofloxacin.html
Augmentin,Bronchitis,39%,Rx,B,N,,6.5,33.0,https://www.drugs.com/augmentin.html
Levaquin,Bronchitis,32%,Rx,C,N,,5.3,76.0,https://www.drugs.com/levaquin.html
Zithromax,Bronchitis,28%,Rx,B,N,,5.9,40.0,https://www.drugs.com/zithromax.html
amoxicillin / clavulanate,Bronchitis,27%,Rx,B,N,,6.5,51.0,https://www.drugs.com/amoxicillin_clavulanate.html
clarithromycin,Bronchitis,27%,Rx,C,N,,5.3,138.0,https://www.drugs.com/clarithromycin.html
cefdinir,Bronchitis,25%,Rx,B,N,,4.5,42.0,https://www.drugs.com/mtm/cefdinir.html
ciprofloxacin,Bronchitis,21%,Rx,C,N,,5.5,23.0,https://www.drugs.com/ciprofloxacin.html
Amoxil,Bronchitis,17%,Rx,B,N,,1.0,1.0,https://www.drugs.com/amoxil.html
cefuroxime,Bronchitis,14%,Rx,B,N,,6.1,12.0,https://www.drugs.com/mtm/cefuroxime-oral-injection.html
Avelox,Bronchitis,13%,Rx,C,N,,6.5,29.0,https://www.drugs.com/avelox.html
Cipro,Bronchitis,13%,Rx,C,N,,5.5,11.0,https://www.drugs.com/cipro.html
Bactrim,Bronchitis,11%,Rx,D,N,X,5.7,6.0,https://www.drugs.com/bactrim.html
erythromycin,Bronchitis,9%,Rx,B,N,X,7.5,4.0,https://www.drugs.com/erythromycin.html
sulfamethoxazole / trimethoprim,Bronchitis,9%,Rx,D,N,X,6.9,15.0,https://www.drugs.com/mtm/sulfamethoxazole-and-trimethoprim.html
Bactrim DS,Bronchitis,8%,Rx,D,N,X,6.5,2.0,https://www.drugs.com/cons/bactrim-ds.html
Ceftin,Bronchitis,6%,Rx,B,N,,6.0,2.0,https://www.drugs.com/ceftin.html
ceftriaxone,Bronchitis,6%,Rx,B,N,,6.3,3.0,https://www.drugs.com/mtm/ceftriaxone-injection.html
Apo-Amoxi,Bronchitis,5%,Rx,B,N,,,,https://www.drugs.com/cons/apo-amoxi-oral.html
beclomethasone,Bronchitis,5%,Rx,C,N,,6.5,2.0,https://www.drugs.com/mtm/beclomethasone-inhalation.html
Doxy 100,Bronchitis,5%,Rx,D,N,X,1.0,1.0,https://www.drugs.com/cdi/doxy-100.html
moxifloxacin,Bronchitis,5%,Rx,C,N,,6.1,31.0,https://www.drugs.com/mtm/moxifloxacin-oral-injection.html
cefixime,Bronchitis,4%,Rx,B,N,,1.0,1.0,https://www.drugs.com/cefixime.html
Mucinex Maximum Strength,Bronchitis,4%,Rx/OTC,C,N,,7.0,2.0,https://www.drugs.com/pro/mucinex-maximum-strength.html
Vibramycin,Bronchitis,4%,Rx,D,N,X,1.0,1.0,https://www.drugs.com/cons/vibramycin-calcium.html
Cipro I.V.,Bronchitis,3%,Rx,C,N,,,,https://www.drugs.com/mtm/cipro-i-v-injection.html
Cipro XR,Bronchitis,3%,Rx,C,N,,,,https://www.drugs.com/pro/cipro-xr.html
Doryx,Bronchitis,3%,Rx,D,N,X,,,https://www.drugs.com/cons/doryx.html
Doryx MPC,Bronchitis,3%,Rx,D,N,X,,,https://www.drugs.com/cons/doryx-mpc.html
Monodox,Bronchitis,3%,Rx,D,N,X,,,https://www.drugs.com/cons/monodox.html
Morgidox,Bronchitis,3%,Rx,D,N,X,,,https://www.drugs.com/cdi/morgidox.html
Oraxyl,Bronchitis,3%,Rx,D,N,X,,,https://www.drugs.com/cdi/oraxyl.html
Robafen,Bronchitis,3%,Rx/OTC,C,N,,9.0,1.0,https://www.drugs.com/mtm/robafen.html
Septra DS,Bronchitis,3%,Rx,D,N,X,,,https://www.drugs.com/cons/septra-ds.html
Augmentin XR,Bronchitis,2%,Rx,B,N,,,,https://www.drugs.com/cons/augmentin-xr.html
Biaxin XL,Bronchitis,2%,Rx,C,N,,7.0,4.0,https://www.drugs.com/biaxin.html
cefpodoxime,Bronchitis,2%,Rx,B,N,,2.0,1.0,https://www.drugs.com/mtm/cefpodoxime.html
cefprozil,Bronchitis,2%,Rx,B,N,,5.8,4.0,https://www.drugs.com/mtm/cefprozil.html
Ery-Tab,Bronchitis,2%,Rx,B,N,X,7.0,1.0,https://www.drugs.com/ery-tab.html
Guaifenex G,Bronchitis,2%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/guaifenex-g.html
Septra,Bronchitis,2%,Rx,D,N,X,8.0,1.0,https://www.drugs.com/septra.html
Suprax,Bronchitis,2%,Rx,B,N,,1.0,1.0,https://www.drugs.com/mtm/suprax.html
tetracycline,Bronchitis,2%,Rx,D,N,,5.0,2.0,https://www.drugs.com/tetracycline.html
Achromycin V,Bronchitis,1%,Rx,D,N,,,,https://www.drugs.com/pro/achromycin-v.html
Ala-Tet,Bronchitis,1%,Rx,D,N,,,,https://www.drugs.com/mtm/ala-tet.html
Altarussin,Bronchitis,1%,Rx/OTC,C,N,,,,https://www.drugs.com/mtm/altarussin.html
Amibid LA,Bronchitis,1%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/amibid-la.html
Amoclan,Bronchitis,1%,Rx,B,N,,,,https://www.drugs.com/cons/amoclan.html
ampicillin,Bronchitis,1%,Rx,B,N,,,,https://www.drugs.com/mtm/ampicillin.html
Balminil Expectorant,Bronchitis,1%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/balminil-expectorant.html
Benylin E,Bronchitis,1%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/benylin-e-extra-strength-chest-congestion.html
Bidex-400,Bronchitis,1%,Rx/OTC,C,N,,,,https://www.drugs.com/mtm/bidex-400.html
Brodspec,Bronchitis,1%,Rx,D,N,,,,https://www.drugs.com/mtm/brodspec.html
Cefzil,Bronchitis,1%,Rx,B,N,,8.0,1.0,https://www.drugs.com/cefzil.html
Co-trimoxazole,Bronchitis,1%,Rx,D,N,X,,,https://www.drugs.com/monograph/co-trimoxazole.html
dicloxacillin,Bronchitis,1%,Rx,B,N,,,,https://www.drugs.com/mtm/dicloxacillin.html
Drituss G,Bronchitis,1%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/drituss-g.html
E.E.S. Granules,Bronchitis,1%,Rx,B,N,X,,,https://www.drugs.com/cons/e-e-s-granules-oral.html
Eryc,Bronchitis,1%,Rx,B,N,X,,,https://www.drugs.com/cons/eryc.html
EryPed,Bronchitis,1%,Rx,B,N,X,,,https://www.drugs.com/cons/eryped-200-oral.html
Erythrocin,Bronchitis,1%,Rx,B,N,X,,,https://www.drugs.com/cons/erythrocin-oral.html
Erythrocin Lactobionate,Bronchitis,1%,Rx,B,N,X,,,https://www.drugs.com/cons/erythrocin-lactobionate-intravenous.html
Fenesin IR,Bronchitis,1%,Rx/OTC,C,N,,7.0,2.0,https://www.drugs.com/mtm/fenesin-ir.html
Floxin,Bronchitis,1%,Rx,C,N,,,,https://www.drugs.com/floxin.html
gemifloxacin,Bronchitis,1%,Rx,C,N,,4.0,5.0,https://www.drugs.com/mtm/gemifloxacin.html
Guaifenex LA,Bronchitis,1%,Rx/OTC,C,N,,,,https://www.drugs.com/cons/guaifenex-la.html
Guiatuss,Bronchitis,1%,Rx/OTC,C,N,,,,https://www.drugs.com/cdi/guaituss.html
Hytuss,Bronchitis,1%,Rx/OTC,C,N,,,,https://www.drugs.com/cdi/hytuss.html
Mucinex for Kids,Bronchitis,1%,Rx/OTC,C,N,,,,https://www.drugs.com/cdi/mucinex-children-s.html
ofloxacin,Bronchitis,1%,Rx,C,N,,,,https://www.drugs.com/mtm/ofloxacin.html
PCE Dispertab,Bronchitis,1%,Rx,B,N,X,,,https://www.drugs.com/cons/pce.html
Scot-Tussin Expectorant,Bronchitis,1%,Rx/OTC,C,N,,,,https://www.drugs.com/mtm/scot-tussin.html
Sulfatrim Pediatric,Bronchitis,1%,Rx,D,N,X,,,https://www.drugs.com/cons/sulfatrim-pediatric.html
Tussin Expectorant,Bronchitis,1%,Rx/OTC,C,N,,,,https://www.drugs.com/mtm/tussin-expectorant.html
Xpect,Bronchitis,1%,Rx/OTC,C,N,,,,https://www.drugs.com/mtm/xpect.html
Zinacef,Bronchitis,1%,Rx,B,N,,,,https://www.drugs.com/cons/zinacef.html
Avelox I.V.,Bronchitis,0%,Rx,C,N,,,,https://www.drugs.com/cons/avelox-i-v.html
cefaclor,Bronchitis,0%,Rx,B,N,,,,https://www.drugs.com/mtm/cefaclor.html
cilastatin / imipenem,Bronchitis,0%,Rx,C,N,,,,https://www.drugs.com/mtm/imipenem-and-cilastatin.html
Difil-G Forte,Bronchitis,0%,Rx,C,N,,,,https://www.drugs.com/mtm/difil-g-forte.html
Dycill,Bronchitis,0%,Rx,B,N,,,,https://www.drugs.com/mtm/dycill.html
Dynapen,Bronchitis,0%,Rx,B,N,,,,https://www.drugs.com/mtm/dynapen.html
dyphylline / guaifenesin,Bronchitis,0%,Rx,C,N,,,,https://www.drugs.com/mtm/dyphylline-and-guaifenesin.html
Factive,Bronchitis,0%,Rx,C,N,,1.0,4.0,https://www.drugs.com/mtm/factive.html
Primaxin IV,Bronchitis,0%,Rx,C,N,,,,https://www.drugs.com/mtm/primaxin-iv.html
carboplatin,Cancer,100%,Rx,D,N,,1.0,2.0,https://www.drugs.com/carboplatin.html
Leukeran,Cancer,43%,Rx,D,N,,,,https://www.drugs.com/mtm/leukeran.html
chlorambucil,Cancer,36%,Rx,D,N,,,,https://www.drugs.com/chlorambucil.html
fluorouracil,Cancer,24%,Rx,D,N,,,,https://www.drugs.com/mtm/fluorouracil-injection.html
doxorubicin,Cancer,22%,Rx,D,N,,10.0,2.0,https://www.drugs.com/mtm/doxorubicin.html
etoposide,Cancer,18%,Rx,D,N,,,,https://www.drugs.com/mtm/etoposide.html
cyclophosphamide,Cancer,17%,Rx,D,N,,,,https://www.drugs.com/mtm/cyclophosphamide-oral-and-injection.html
vincristine,Cancer,13%,Rx,D,N,,10.0,1.0,https://www.drugs.com/mtm/vincristine.html
Cosmegen,Cancer,10%,Rx,D,N,,,,https://www.drugs.com/mtm/cosmegen.html
Etopophos,Cancer,7%,Rx,D,N,,,,https://www.drugs.com/mtm/etopophos.html
Ifex,Cancer,7%,Rx,D,N,X,,,https://www.drugs.com/mtm/ifex.html
Toposar,Cancer,7%,Rx,D,N,,,,https://www.drugs.com/mtm/toposar-injection.html
vinblastine,Cancer,7%,Rx,D,N,,,,https://www.drugs.com/mtm/vinblastine.html
Hycamtin,Cancer,6%,Rx,D,N,,,,https://www.drugs.com/mtm/hycamtin-oral-injection.html
ifosfamide,Cancer,6%,Rx,D,N,X,1.0,1.0,https://www.drugs.com/mtm/ifosfamide.html
dactinomycin,Cancer,5%,Rx,D,N,,,,https://www.drugs.com/mtm/dactinomycin.html
fludarabine,Cancer,4%,Rx,D,N,,,,https://www.drugs.com/mtm/fludarabine-injection.html
Tepadina,Cancer,4%,Rx,D,N,,,,https://www.drugs.com/mtm/tepadina.html
thiotepa,Cancer,4%,Rx,D,N,,,,https://www.drugs.com/mtm/thiotepa.html
topotecan,Cancer,4%,Rx,D,N,,,,https://www.drugs.com/mtm/topotecan-oral-injection.html
atorvastatin,Cholesterol,100%,Rx,X,N,X,4.2,243.0,https://www.drugs.com/atorvastatin.html
simvastatin,Cholesterol,53%,Rx,X,N,X,4.7,115.0,https://www.drugs.com/simvastatin.html
Lipitor,Cholesterol,49%,Rx,X,N,X,4.6,83.0,https://www.drugs.com/lipitor.html
Zetia,Cholesterol,49%,Rx,C,N,,4.0,56.0,https://www.drugs.com/zetia.html
ezetimibe,Cholesterol,44%,Rx,C,N,,3.6,125.0,https://www.drugs.com/ezetimibe.html
Crestor,Cholesterol,40%,Rx,X,N,X,5.7,109.0,https://www.drugs.com/crestor.html
Repatha,Cholesterol,33%,Rx,,N,,4.3,307.0,https://www.drugs.com/repatha.html
alirocumab,Cholesterol,31%,Rx,,N,,5.6,113.0,https://www.drugs.com/alirocumab.html
evolocumab,Cholesterol,31%,Rx,,N,,4.3,311.0,https://www.drugs.com/evolocumab.html
Praluent,Cholesterol,31%,Rx,,N,,5.7,109.0,https://www.drugs.com/praluent.html
rosuvastatin,Cholesterol,31%,Rx,X,N,X,5.0,189.0,https://www.drugs.com/rosuvastatin.html
pravastatin,Cholesterol,30%,Rx,X,N,X,4.3,60.0,https://www.drugs.com/pravastatin.html
lovastatin,Cholesterol,14%,Rx,X,N,X,6.4,14.0,https://www.drugs.com/mtm/lovastatin.html
Zocor,Cholesterol,14%,Rx,X,N,X,5.0,22.0,https://www.drugs.com/zocor.html
gemfibrozil,Cholesterol,9%,Rx,C,N,,6.3,24.0,https://www.drugs.com/gemfibrozil.html
Vytorin,Cholesterol,9%,Rx,X,N,X,7.3,19.0,https://www.drugs.com/vytorin.html
Livalo,Cholesterol,7%,Rx,X,N,X,5.5,81.0,https://www.drugs.com/livalo.html
niacin,Cholesterol,6%,Rx/OTC,C,N,X,6.0,48.0,https://www.drugs.com/niacin.html
Altocor,Cholesterol,5%,Rx,X,N,X,,,https://www.drugs.com/altocor.html
Niaspan,Cholesterol,5%,Rx/OTC,C,N,X,5.9,27.0,https://www.drugs.com/niaspan.html
Welchol,Cholesterol,5%,Rx,B,N,,6.7,11.0,https://www.drugs.com/mtm/welchol.html
Altoprev,Cholesterol,4%,Rx,X,N,X,10.0,1.0,https://www.drugs.com/mtm/altoprev.html
ezetimibe / simvastatin,Cholesterol,4%,Rx,X,N,X,7.3,19.0,https://www.drugs.com/mtm/ezetimibe-and-simvastatin.html
fenofibric acid,Cholesterol,4%,Rx,C,N,,5.1,13.0,https://www.drugs.com/mtm/fenofibric-acid.html
Slo-Niacin,Cholesterol,3%,Rx/OTC,C,N,X,9.5,2.0,https://www.drugs.com/cons/slo-niacin.html
colesevelam,Cholesterol,2%,Rx,B,N,,6.3,14.0,https://www.drugs.com/mtm/colesevelam.html
Ezallor,Cholesterol,2%,Rx,X,N,X,,,https://www.drugs.com/mtm/ezallor-sprinkle.html
FloLipid,Cholesterol,2%,Rx,X,N,X,10.0,1.0,https://www.drugs.com/cdi/flolipid.html
Lopid,Cholesterol,2%,Rx,C,N,,8.0,6.0,https://www.drugs.com/mtm/lopid.html
pitavastatin,Cholesterol,2%,Rx,X,N,X,5.6,85.0,https://www.drugs.com/mtm/pitavastatin.html
amlodipine / atorvastatin,Cholesterol,1%,Rx,X,N,X,,,https://www.drugs.com/mtm/amlodipine-and-atorvastatin.html
atorvastatin / ezetimibe,Cholesterol,1%,Rx,X,N,X,,,https://www.drugs.com/cons/atorvastatin-and-ezetimibe.html
fluvastatin,Cholesterol,1%,Rx,X,N,X,,,https://www.drugs.com/mtm/fluvastatin.html
Lescol XL,Cholesterol,1%,Rx,X,N,X,,,https://www.drugs.com/mtm/lescol-xl.html
mycophenolate mofetil,Cholesterol,1%,Rx,D,N,,,,https://www.drugs.com/mtm/mycophenolate-mofetil-oral-injection.html
Niacor,Cholesterol,1%,Rx/OTC,C,N,X,,,https://www.drugs.com/cons/niacor.html
Trilipix,Cholesterol,1%,Rx,C,N,,5.1,10.0,https://www.drugs.com/trilipix.html
Caduet,Cholesterol,0%,Rx,X,N,X,,,https://www.drugs.com/caduet.html
ezetimibe / rosuvastatin,Cholesterol,0%,Rx,,N,X,4.0,1.0,https://www.drugs.com/mtm/ezetimibe-and-rosuvastatin.html
Fibricor,Cholesterol,0%,Rx,C,N,,,,https://www.drugs.com/mtm/fibricor.html
inclisiran,Cholesterol,0%,Rx,,N,,,,https://www.drugs.com/mtm/inclisiran.html
Juxtapid,Cholesterol,0%,Rx,X,N,X,,,https://www.drugs.com/juxtapid.html
Leqvio,Cholesterol,0%,Rx,,N,,,,https://www.drugs.com/leqvio.html
lomitapide,Cholesterol,0%,Rx,X,N,X,,,https://www.drugs.com/mtm/lomitapide.html
Lypqozet,Cholesterol,0%,Rx,X,N,X,,,https://www.drugs.com/pro/lypqozet.html
Roszet,Cholesterol,0%,Rx,,N,X,,,https://www.drugs.com/roszet.html
Zypitamag,Cholesterol,0%,Rx,X,N,X,,,https://www.drugs.com/mtm/zypitamag.html
Benadryl,Colds & Flu,100%,Rx/OTC,B,N,X,9.5,2.0,https://www.drugs.com/benadryl.html
diphenhydramine,Colds & Flu,59%,Rx/OTC,B,N,X,6.8,5.0,https://www.drugs.com/diphenhydramine.html
Vicks Nyquil D Cold and Flu Nighttime Relief,Colds & Flu,47%,OTC,N,N,X,8.2,5.0,https://www.drugs.com/mtm/nyquil-d.html
Vicks NyQuil Cold & Flu Nighttime Relief,Colds & Flu,46%,OTC,N,N,X,,,https://www.drugs.com/mtm/nyquil-cold-flu.html
chlorpheniramine,Colds & Flu,42%,Rx/OTC,B,N,X,6.7,3.0,https://www.drugs.com/mtm/chlorpheniramine.html
Coricidin HBP Cold & Flu,Colds & Flu,35%,OTC,N,N,X,6.3,8.0,https://www.drugs.com/coricidin.html
Vicks DayQuil Severe Cold & Flu,Colds & Flu,33%,Rx/OTC,N,N,X,,,https://www.drugs.com/mtm/dayquil-severe-cold-flu.html
Benadryl Allergy,Colds & Flu,29%,Rx/OTC,B,N,X,7.0,1.0,https://www.drugs.com/cdi/benadryl-allergy-diphenhydramine-chewable-tablets-and-orally-disintegrating-tablets.html
Vicks Dayquil Cold & Flu Relief,Colds & Flu,26%,OTC,N,N,X,,,https://www.drugs.com/mtm/dayquil-cold-flu.html
Vicks NyQuil Severe Cold & Flu,Colds & Flu,22%,OTC,N,N,X,,,https://www.drugs.com/mtm/nyquil-severe-cold-flu.html
Promethazine DM,Colds & Flu,20%,Rx,C,N,X,10.0,1.0,https://www.drugs.com/mtm/promethazine-dm.html
Tylenol Cold & Flu Severe,Colds & Flu,17%,Rx/OTC,N,N,X,,,https://www.drugs.com/mtm/tylenol-cold-flu-severe.html
Vicks VapoRub,Colds & Flu,15%,OTC,N,N,,,,https://www.drugs.com/mtm/vicks-vaporub.html
Coricidin HBP Maximum Strength Flu,Colds & Flu,13%,OTC,N,N,X,,,https://www.drugs.com/mtm/coricidin-hbp-maximum-strength-flu.html
Theraflu Nighttime Severe Cold & Cough,Colds & Flu,12%,Rx/OTC,C,N,X,1.0,1.0,https://www.drugs.com/mtm/theraflu-severe-cold-cough-nighttime.html
acetaminophen / chlorpheniramine / phenylephrine,Colds & Flu,10%,Rx/OTC,N,N,X,7.3,16.0,https://www.drugs.com/mtm/acetaminophen-chlorpheniramine-and-phenylephrine.html
Sudafed PE Cold & Cough,Colds & Flu,9%,Rx/OTC,N,N,X,,,https://www.drugs.com/mtm/sudafed-pe-cold-cough.html
Banophen,Colds & Flu,8%,Rx/OTC,B,N,X,,,https://www.drugs.com/cdi/banophen-diphenhydramine-capsules-and-tablets.html
Benadryl Allergy Plus Cold,Colds & Flu,8%,Rx/OTC,C,N,X,,,https://www.drugs.com/cdi/benadryl-allergy-cold-acetaminophen-diphenhydramine-and-phenylephrine-tablets.html
pseudoephedrine / triprolidine,Colds & Flu,8%,Rx/OTC,C,N,X,7.8,11.0,https://www.drugs.com/mtm/pseudoephedrine-and-triprolidine.html
Tussionex Pennkinetic,Colds & Flu,8%,Rx,C,2,X,7.6,14.0,https://www.drugs.com/tussionex.html
Chlor-Trimeton,Colds & Flu,7%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/chlor-trimeton.html
Diphedryl,Colds & Flu,7%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/diphedryl.html
Diphen,Colds & Flu,7%,Rx/OTC,B,N,X,,,https://www.drugs.com/pro/di-phen-oral-solution.html
Complete Allergy Relief,Colds & Flu,6%,Rx/OTC,B,N,X,,,https://www.drugs.com/cdi/complete-allergy.html
Tylenol Cold,Colds & Flu,6%,OTC,N,N,X,2.0,1.0,https://www.drugs.com/cdi/tylenol-cold.html
Allermax,Colds & Flu,5%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/allermax.html
Bronkaid,Colds & Flu,5%,Rx/OTC,N,N,,9.1,13.0,https://www.drugs.com/cdi/bronkaid.html
Dicopanol,Colds & Flu,5%,Rx/OTC,B,N,X,,,https://www.drugs.com/pro/dicopanol.html
Dytuss,Colds & Flu,5%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/dytuss.html
Mucinex Fast-Max Night Time Cold & Flu,Colds & Flu,5%,Rx/OTC,C,N,X,5.0,1.0,https://www.drugs.com/mtm/mucinex-fast-max-night-time-cold-and-flu.html
Scot-Tussin Allergy,Colds & Flu,5%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/scot-tussin-allergy-relief-formula.html
Siladryl Allergy,Colds & Flu,5%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/siladryl-allergy.html
Sudafed PE Sinus & Allergy,Colds & Flu,5%,Rx/OTC,N,N,X,,,https://www.drugs.com/mtm/sudafed-pe-sinus-allergy.html
Twilite,Colds & Flu,5%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/twilite.html
Tylenol Cold Multi-Symptom Severe,Colds & Flu,5%,Rx/OTC,N,N,X,,,https://www.drugs.com/mtm/tylenol-cold-multi-symptom-severe.html
Valu-Dryl,Colds & Flu,5%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/valu-dryl.html
Vanamine PD,Colds & Flu,5%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/vanamine-pd.html
Virtussin DAC,Colds & Flu,5%,Rx/OTC,C,M,X,,,https://www.drugs.com/mtm/virtussin-dac.html
Benadryl Allergy Plus Sinus Headache,Colds & Flu,4%,Rx/OTC,C,N,X,,,https://www.drugs.com/mtm/benadryl-allergy-sinus-headache.html
Primatene,Colds & Flu,4%,Rx/OTC,N,N,,9.4,5.0,https://www.drugs.com/cdi/primatene-asthma.html
acetaminophen / dextromethorphan / doxylamine / pseudoephedrine,Colds & Flu,3%,OTC,N,N,X,8.2,5.0,https://www.drugs.com/mtm/acetaminophen-dextromethorphan-doxylamine-and-pseudoephedrine.html
acetaminophen / dextromethorphan / guaifenesin / phenylephrine,Colds & Flu,3%,Rx/OTC,N,N,X,10.0,1.0,https://www.drugs.com/mtm/acetaminophen-dextromethorphan-guaifenesin-and-phenylephrine.html
acetaminophen / dextromethorphan / phenylephrine,Colds & Flu,3%,OTC,N,N,X,3.0,1.0,https://www.drugs.com/mtm/acetaminophen-dextromethorphan-and-phenylephrine.html
Aller-Chlor,Colds & Flu,3%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/aller-chlor.html
Allergy Relief,Colds & Flu,3%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/allergy-relief.html
brompheniramine,Colds & Flu,3%,Rx/OTC,C,N,X,10.0,2.0,https://www.drugs.com/pro/brompheniramine-maleate-drops.html
Mucinex Fast-Max Severe Cold,Colds & Flu,3%,Rx/OTC,N,N,X,,,https://www.drugs.com/mtm/mucinex-fast-max-severe-cold.html
Mucinex Fast-Max Severe Congestion & Cold,Colds & Flu,3%,Rx/OTC,N,N,X,,,https://www.drugs.com/cdi/mucinex-fast-max-congestion-and-cold.html
Sudafed PE Pressure+Pain+Cold,Colds & Flu,3%,Rx/OTC,N,N,X,,,https://www.drugs.com/cdi/sudafed-pe-pressure-pain-cold.html
Sudafed PE Severe Cold,Colds & Flu,3%,Rx/OTC,C,N,X,5.0,2.0,https://www.drugs.com/mtm/sudafed-pe-severe-cold.html
Tylenol Cold Max Day,Colds & Flu,3%,OTC,N,N,X,,,https://www.drugs.com/mtm/tylenol-cold-multi-symptom-daytime.html
Vicks NyQuil Cold & Flu Nighttime Relief (Alcohol Free),Colds & Flu,3%,OTC,N,N,X,,,https://www.drugs.com/mtm/nyquil-cold-flu-alcohol-free.html
Wal-finate,Colds & Flu,3%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/wal-finate.html
acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,Colds & Flu,2%,OTC,N,N,X,2.0,1.0,https://www.drugs.com/mtm/acetaminophen-chlorpheniramine-dextromethorphan-and-pseudoephedrine.html
acetaminophen / chlorpheniramine,Colds & Flu,2%,OTC,N,N,X,5.6,9.0,https://www.drugs.com/mtm/acetaminophen-and-chlorpheniramine.html
Actifed Cold and Allergy,Colds & Flu,2%,Rx/OTC,N,N,X,,,https://www.drugs.com/mtm/actifed-cold-allergy.html
Advil Allergy Sinus,Colds & Flu,2%,OTC,D,N,X,,,https://www.drugs.com/advil_allergy_sinus.html
Alka-Seltzer Plus Cold Formula Sparkling Original Effervescent Tablets,Colds & Flu,2%,OTC,N,N,X,,,https://www.drugs.com/mtm/alka-seltzer-plus-cold-formula.html
Aprodine,Colds & Flu,2%,Rx/OTC,C,N,X,,,https://www.drugs.com/mtm/aprodine.html
aspirin / chlorpheniramine / phenylephrine,Colds & Flu,2%,OTC,N,N,X,,,https://www.drugs.com/mtm/aspirin-chlorpheniramine-and-phenylephrine.html
C.P.M.,Colds & Flu,2%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/c-p-m.html
camphor / eucalyptus / menthol,Colds & Flu,2%,OTC,N,N,,,,https://www.drugs.com/mtm/camphor-eucalyptus-and-menthol-topical.html
Cheratussin DAC,Colds & Flu,2%,Rx/OTC,C,M,X,2.0,1.0,https://www.drugs.com/mtm/cheratussin-dac.html
Chlo-Amine,Colds & Flu,2%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/chlo-amine.html
Chlor-Mal,Colds & Flu,2%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/chlor-mal.html
chlorpheniramine / hydrocodone,Colds & Flu,2%,Rx,C,2,X,7.9,16.0,https://www.drugs.com/mtm/chlorpheniramine-and-hydrocodone.html
chlorpheniramine / phenylephrine,Colds & Flu,2%,Rx/OTC,N,N,X,9.0,7.0,https://www.drugs.com/mtm/chlorpheniramine-and-phenylephrine.html
ChlorTan,Colds & Flu,2%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/chlortan.html
codeine / guaifenesin / pseudoephedrine,Colds & Flu,2%,Rx/OTC,C,M,X,2.0,1.0,https://www.drugs.com/mtm/codeine-guaifenesin-and-pseudoephedrine.html
Coricidin HBP Nighttime Multi-Symptom Cold,Colds & Flu,2%,OTC,N,N,X,,,https://www.drugs.com/mtm/coricidin-hbp-nighttime-multi-symptom-cold.html
dextromethorphan / promethazine,Colds & Flu,2%,Rx,C,N,X,10.0,1.0,https://www.drugs.com/mtm/dextromethorphan-and-promethazine.html
diphenhydramine / phenylephrine,Colds & Flu,2%,Rx/OTC,C,N,X,,,https://www.drugs.com/mtm/diphenhydramine-and-phenylephrine.html
Drixoral Cold and Allergy,Colds & Flu,2%,Rx/OTC,C,N,X,10.0,9.0,https://www.drugs.com/drixoral.html
Ed-Chlortan,Colds & Flu,2%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/ed-chlortan.html
Ed A-Hist,Colds & Flu,2%,Rx/OTC,N,N,X,10.0,1.0,https://www.drugs.com/mtm/ed-a-hist.html
Ed ChlorPed,Colds & Flu,2%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/ed-chlorped.html
Ed Chlor Ped Jr.,Colds & Flu,2%,Rx/OTC,B,N,X,,,https://www.drugs.com/mtm/ed-chlor-ped-jr.html
